wavelength transmission
12030.0 0.57444
12040.0 0.57294
12050.0 0.57143
12060.0 0.56793
12070.0 0.56641
12080.0 0.56291
12090.0 0.56337
12100.0 0.56185
12110.0 0.56231
12120.0 0.56277
12130.0 0.56524
12140.0 0.5677
12150.0 0.57017
12160.0 0.57264
12170.0 0.57512
12180.0 0.57759
12190.0 0.58007
12200.0 0.58457
12210.0 0.58505
12220.0 0.58754
12230.0 0.59003
12240.0 0.59052
12250.0 0.59302
12260.0 0.5935
12270.0 0.59398
12280.0 0.59649
12290.0 0.59698
12300.0 0.59949
12310.0 0.602
12320.0 0.60655
12330.0 0.6111
12340.0 0.61566
12350.0 0.62022
12360.0 0.6248
12370.0 0.62938
12380.0 0.63396
12390.0 0.64059
12400.0 0.6452
12410.0 0.65185
12420.0 0.65851
12430.0 0.66313
12440.0 0.66981
12450.0 0.67445
12460.0 0.68114
12470.0 0.6858
12480.0 0.69046
12490.0 0.69307
12500.0 0.69568
12510.0 0.6983
12520.0 0.70092
12530.0 0.69941
12540.0 0.69997
12550.0 0.69846
12560.0 0.69695
12570.0 0.69544
12580.0 0.69392
12590.0 0.6924
12600.0 0.69295
12610.0 0.6935
12620.0 0.69405
12630.0 0.69668
12640.0 0.69931
12650.0 0.70194
12660.0 0.70458
12670.0 0.70493
12680.0 0.70758
12690.0 0.70813
12700.0 0.70869
12710.0 0.70925
12720.0 0.70981
12730.0 0.71058
12740.0 0.71113
12750.0 0.71169
12760.0 0.71435
12770.0 0.71491
12780.0 0.71758
12790.0 0.72024
12800.0 0.72291
12810.0 0.72559
12820.0 0.73038
12830.0 0.73517
12840.0 0.73997
12850.0 0.74478
12860.0 0.75171
12870.0 0.75654
12880.0 0.76136
12890.0 0.76832
12900.0 0.77104
12910.0 0.77589
12920.0 0.77862
12930.0 0.78135
12940.0 0.78196
12950.0 0.78469
12960.0 0.7853
12970.0 0.78377
12980.0 0.78437
12990.0 0.78498
13000.0 0.78558
13010.0 0.78619
13020.0 0.78679
13030.0 0.78954
13040.0 0.79229
13050.0 0.79505
13060.0 0.79781
13070.0 0.80273
13080.0 0.8098
13090.0 0.81473
13100.0 0.82182
13110.0 0.82893
13120.0 0.83604
13130.0 0.84316
13140.0 0.84813
13150.0 0.85527
13160.0 0.86243
13170.0 0.86742
13180.0 0.87242
13190.0 0.87742
13200.0 0.88243
13210.0 0.88745
13220.0 0.8903
13230.0 0.89315
13240.0 0.89601
13250.0 0.89887
13260.0 0.90173
13270.0 0.90459
13280.0 0.90528
13290.0 0.90596
13300.0 0.90664
13310.0 0.90732
13320.0 0.90581
13330.0 0.90429
13340.0 0.90058
13350.0 0.89906
13360.0 0.89753
13370.0 0.8938
13380.0 0.89226
13390.0 0.89073
13400.0 0.88919
13410.0 0.88985
13420.0 0.89051
13430.0 0.89118
13440.0 0.89184
13450.0 0.89472
13460.0 0.89538
13470.0 0.89827
13480.0 0.89893
13490.0 0.90182
13500.0 0.90249
13510.0 0.90316
13520.0 0.90383
13530.0 0.9045
13540.0 0.90516
13550.0 0.90583
13560.0 0.9065
13570.0 0.9094
13580.0 0.91007
13590.0 0.91298
13600.0 0.91365
13610.0 0.91657
13620.0 0.91724
13630.0 0.92016
13640.0 0.92083
13650.0 0.92151
13660.0 0.91993
13670.0 0.92061
13680.0 0.91903
13690.0 0.91745
13700.0 0.91586
13710.0 0.91427
13720.0 0.91268
13730.0 0.91108
13740.0 0.90948
13750.0 0.90788
13760.0 0.90854
13770.0 0.9092
13780.0 0.90986
13790.0 0.91052
13800.0 0.91346
13810.0 0.91412
13820.0 0.91706
13830.0 0.92
13840.0 0.92066
13850.0 0.92133
13860.0 0.92427
13870.0 0.92494
13880.0 0.92561
13890.0 0.92627
13900.0 0.92694
13910.0 0.9299
13920.0 0.93057
13930.0 0.93124
13940.0 0.9342
13950.0 0.93717
13960.0 0.94014
13970.0 0.94311
13980.0 0.94609
13990.0 0.94907
14000.0 0.95436
14010.0 0.95735
14020.0 0.96034
14030.0 0.96333
14040.0 0.96633
14050.0 0.96702
