teff logg meta FUV NUV G3 G3_BP G3_RP U B V R I u g r i z J H Ks W1 W2 W3 H1 H2 H3 H4
3750.0 5.0 0.0 0.003649075049906969 147.86451721191406 664674.125 444536.375 834275.375 52753.2421875 254335.125 490838.25 732730.6875 882900.0 57186.87890625 308966.25 626115.1875 837289.75 886118.25 663507.5 441319.34375 196144.640625 41100.24609375 12980.2080078125 389.37139892578125 0.00028120149537375294 0.001489585140964102 0.0007760380866969358 0.004663279538340647
3750.0 0.0 -1.0 5.249585228739306e-07 4.476507663726807 601752.6875 411243.25 735304.6875 11609.630859375 161462.234375 479590.8125 696676.875 739730.0625 12790.4736328125 250532.953125 633413.0 746505.25 737966.75 616146.125 536904.25 236308.625 47984.29296875 12503.603515625 390.8006591796875 0.0 4.809261572091725e-07 2.283555213450748e-07 1.3198082561272198e-06
3750.0 3.0 -0.5 0.00014020837261341512 43.79645538330078 613044.9375 432940.78125 747132.6875 38699.3046875 237547.421875 485110.84375 681964.625 775681.3125 42557.11328125 299925.9375 611152.875 751503.5625 775868.0625 627932.875 531181.0625 225147.203125 43056.0546875 12567.9736328125 377.8371276855469 8.957207760929304e-06 7.822814810819517e-05 3.9157122057687164e-05 0.00022312399034081127
3750.0 2.0 -1.0 2.468776256137062e-05 24.913667678833008 630883.3125 466544.40625 744691.1875 36247.2421875 241090.875 528448.8125 714920.25 746262.0625 39810.51953125 319739.6875 667719.1875 755976.3125 742959.0625 604347.625 533825.8125 228393.90625 44207.3828125 12575.2734375 378.20220947265625 1.0953433519756737e-06 1.677171581623311e-05 8.27911578581676e-06 4.635861200712325e-05
3750.0 0.5 -0.5 1.6425176454504253e-06 5.894460201263428 607213.3125 428002.78125 733180.3125 13761.5888671875 183876.1875 496911.96875 695579.9375 740480.3125 15227.2333984375 272663.375 640708.875 742290.6875 737899.9375 616123.8125 530416.6875 235455.84375 47779.5703125 12279.26171875 385.28680419921875 3.475819918963971e-08 1.2622080864943825e-06 6.126277571637293e-07 3.467822210640743e-06
3750.0 1.0 -1.0 3.7689276268793037e-06 11.665643692016602 615626.1875 445218.40625 733143.5 22581.111328125 207604.78125 512474.875 703728.75 733487.3125 24892.26953125 294765.5625 653480.0625 744891.3125 730527.5625 601947.3125 539225.875 233877.6875 46649.41796875 12571.93359375 386.6468811035156 5.8261041438453785e-08 2.9803614085257475e-06 1.445796689054165e-06 8.174466777880303e-06
3750.0 3.0 0.0 0.00012938439613208175 39.49180603027344 552715.625 356764.28125 708485.875 31828.244140625 205144.921875 401212.125 598350.6875 772657.0625 35141.53515625 256293.109375 492607.46875 704235.5 778946.5 649900.9375 544928.0625 233629.953125 45682.140625 12661.3720703125 388.35076904296875 8.688293819487116e-06 6.821387480123542e-05 3.420843355674911e-05 0.00019712832564692444
3750.0 5.0 0.2 0.00321189290843904 136.9130401611328 627069.3125 401888.0 806576.9375 52017.08203125 242764.84375 443188.25 678604.25 877728.1875 56501.828125 289151.09375 553335.875 803464.5 884994.3125 677950.125 456615.21875 201542.8125 41771.6875 13025.3232421875 390.8392333984375 0.0002470259527390662 0.0013039739654572117 0.0006817400985565785 0.004097535364826092
3750.0 2.5 0.0 5.975446765660308e-05 28.289995193481445 556864.875 363714.34375 708294.25 26768.62890625 197569.609375 412267.4375 608244.5625 764780.4375 29604.78515625 254998.609375 510490.125 705667.6875 769765.5 643030.1875 543629.125 235507.28125 46671.625 12574.2958984375 389.3356018066406 3.830010290928164e-06 3.308082623277686e-05 1.6486881969408877e-05 9.446657544339271e-05
3750.0 4.5 -0.5 0.001883863820694387 127.2691879272461 708109.9375 502844.625 855911.25 53474.515625 269865.25 558224.625 799906.125 868257.0 58017.62109375 338660.375 724319.3125 868917.25 865557.4375 638976.4375 432247.21875 192975.859375 40656.3125 12903.720703125 386.0498046875 0.00014357204608224624 0.0008405273827790105 0.00043069109754087 0.002535502733211125
