teff logg FUV NUV U u B g G3_BP V G3 r R i G3_RP I z J H Ks W1 W2 W3 H1 H2 H3 H4
5500.0 7.75 923.8236083984375 225583.984375 3988376.25 4169048.5 6253036.0 6517076.0 6235707.5 6513232.5 5362536.0 6020797.5 5367726.5 4847656.5 4491861.0 3800731.25 3605475.25 1818322.75 893751.5625 367153.0 77664.09375 24927.931640625 892.3970336914062 338.16813881613893 384.80732880884767 559.0180462634909 908.8853349683668
5500.0 8.0 926.091064453125 209324.578125 3860840.25 4044177.5 6248906.0 6535782.0 6254619.5 6549643.5 5386585.0 6053691.0 5397124.5 4874497.5 4515598.5 3819949.25 3623242.75 1823555.125 893893.25 367263.1875 77733.890625 24961.212890625 894.6285400390625 339.0822296379618 385.87226651268116 561.4257306529101 912.4453557334137
5500.0 8.25 921.8707275390625 195664.328125 3741337.25 3925839.25 6240572.5 6550922.5 6270792.5 6582610.0 5408049.0 6084549.0 5424109.0 4898557.5 4537188.0 3837137.0 3639119.75 1828318.5 894125.9375 367400.03125 77801.5859375 24992.265625 896.6331787109375 337.84075820912994 384.4944096426967 560.3242582462193 910.3145665966579
5500.0 8.5 910.9979248046875 183838.328125 3632046.5 3816491.75 6228267.0 6562324.5 6284730.0 6612397.0 5427514.0 6114468.5 5449548.0 4920507.5 4557399.0 3852826.0 3653609.0 1832664.5 894194.625 367493.59375 77861.0859375 25020.587890625 898.5316162109375 334.30694492270123 380.5159570760883 555.4285547917009 902.0653516252405
5500.0 8.75 892.804443359375 172861.15625 3533188.0 3716756.75 6212180.5 6569829.5 6296665.5 6639188.0 5445362.0 6143986.0 5473991.0 4940905.0 4576750.0 3867449.0 3667117.75 1836607.125 893894.375 367491.9375 77913.390625 25049.072265625 900.675048828125 328.2055567557954 373.6195098532604 546.2479867592062 886.9342875867
5500.0 9.0 867.1519165039062 162054.21875 3444601.25 3626671.0 6192989.5 6573861.0 6307200.0 6663742.5 5462369.0 6173912.5 5498340.0 4960707.5 4596073.0 3881715.75 3680314.75 1840202.125 893071.0625 367353.21875 77953.0859375 25076.1875 903.0292358398438 319.41246937022305 363.6636841567664 532.5859071787359 864.547974070417
5500.0 9.25 832.8108520507812 151451.046875 3366287.5 3546527.0 6171035.0 6574516.0 6316248.5 6686137.5 5478504.5 6203669.5 5522396.5 4980014.5 4615270.0 3895706.0 3693273.5 1843482.25 891617.9375 367042.40625 77980.359375 25104.73046875 905.960693359375 307.45224394412077 350.0993873429743 513.5789827007179 833.6658025757328
5500.0 9.5 789.6434326171875 140839.65625 3298071.25 3476199.25 6147099.5 6572236.0 6324026.0 6706716.5 5494073.5 6233005.5 5546342.5 4999388.0 4634637.5 3909824.0 3706379.25 1846437.125 889516.8125 366549.65625 77992.484375 25133.16015625 909.354736328125 292.1450066244082 332.72328043712497 488.9721716569006 793.8164885887837
5750.0 6.5 1844.286865234375 949140.25 6522220.5 6674404.0 8052178.5 8109948.5 7581315.5 7704756.5 6244566.0 6954416.0 6100827.0 5421857.0 5016779.5 4192156.75 3961194.5 1976108.125 977980.0625 394884.5 81658.0546875 25830.46875 889.4557495117188 693.1062313194867 788.9859595855368 1131.168182587992 1824.8391258409388
5750.0 6.75 1871.2708740234375 817915.1875 6439421.0 6602889.0 8071402.0 8144933.0 7620270.5 7758466.5 6286473.0 7006457.5 6148906.5 5466899.0 5056556.5 4224677.0 3991429.5 1982816.75 976773.875 394753.3125 81734.4765625 25855.111328125 890.3472290039062 698.3897054187817 794.871199120273 1142.9949037329225 1842.9886339943187
5750.0 7.0 1901.511962890625 703905.75 6347963.0 6523355.5 8089190.5 8177543.5 7656144.0 7808949.5 6325345.0 7054764.0 6193615.0 5508916.5 5093447.0 4254861.5 4019419.75 1989165.5 975297.375 394535.09375 81862.2734375 25934.685546875 896.6867065429688 706.5627981422818 804.092068241047 1159.0457446246648 1867.9246279682234
5750.0 7.25 1932.8250732421875 609894.8125 6270299.5 6455866.5 8101731.5 8201862.0 7684527.0 7849994.0 6357405.5 7094414.0 6231085.0 5544879.0 5124745.5 4280734.0 4043437.25 1994401.375 973354.9375 394153.0 81952.8046875 26000.236328125 902.3568115234375 716.0927482335126 814.891800474235 1176.9231107979253 1895.764522863618
5750.0 7.5 1964.725830078125 535954.125 6159616.5 6355094.0 8109875.5 8226886.5 7712292.5 7894080.0 6389528.5 7135179.5 6269027.5 5580877.5 5155971.0 4306449.5 4067229.0 2000491.375 971854.375 393904.71875 82048.7890625 26063.408203125 907.5812377929688 726.5883462475384 826.8117876059241 1196.156202138137 1925.7048901854168
5750.0 7.75 1993.2083740234375 477977.28125 6012596.0 6218574.0 8122895.0 8260016.5 7742487.0 7941956.0 6422877.0 7176492.0 6307050.0 5616623.0 5186897.0 4331817.5 4090646.0 2007858.625 971008.9375 393840.3125 82159.109375 26126.166015625 912.3427124023438 736.245562555233 837.7997412193317 1214.0562169950308 1953.4381577917304
5750.0 8.0 2014.2652587890625 432214.90625 5848104.5 6064481.5 8139817.0 8300786.0 7778342.0 7999270.0 6458875.5 7222602.5 6346772.0 5651779.0 5217582.5 4356625.0 4113422.25 2015793.0 970879.8125 393962.25 82274.359375 26182.828125 916.1862182617188 743.7496055273069 846.3593586428567 1228.5828037796814 1975.6691904425081
5750.0 8.25 2025.039794921875 395744.90625 5678972.5 5903943.0 8151817.0 8338757.5 7812924.5 8055765.0 6495461.5 7270440.5 6388399.5 5688849.0 5250012.0 4382628.0 4137296.0 2023293.75 971168.1875 394183.6875 82386.9453125 26234.08984375 919.420654296875 748.0571037725248 851.3076464690955 1237.9063380212085 1989.5099137915201
5750.0 8.5 2023.1495361328125 366130.4375 5512808.5 5743855.0 8157164.5 8371697.5 7843283.0 8107427.5 6529510.0 7315776.5 6428113.5 5724451.0 5281407.5 4407725.5 4160371.5 2030110.875 971690.1875 394456.6875 82493.4765625 26279.609375 922.1000366210938 748.271515832989 851.6228398168008 1240.5221528414918 1992.588369021371
5750.0 8.75 2007.9202880859375 341528.4375 5356896.5 5591606.5 8155346.0 8398565.0 7869269.0 8153713.5 6559909.5 7358632.0 6464731.5 5756334.0 5310173.0 4430246.5 4181085.0 2036230.25 972064.4375 394680.5625 82588.046875 26320.6640625 924.5635375976562 743.995090128732 846.8458725732736 1235.6351938976088 1983.6899611329256
