LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.365065 5.719673 2.617163 8.529176 0.0 0.0 0.0 0.0 2.292122295885228 1.2919 -33.0 897060 -99.0 -99.0 -99.0 -99.0 469957.6 5.6699041 -inf -4.8981968 1.2919045 1.2917362 9.0178971 0.005828 0.0 -0.0 524412.4576521792 2.0159755990789563e-05
3.363876 5.719435 2.616479 8.529408 0.0 0.0 0.0 0.0 2.292122297019698 1.2919 -33.0 897061 -99.0 -99.0 -99.0 -99.0 467781.0 5.6678839 -inf -4.8982151 1.2919045 1.2917362 9.0181328 0.0058265 0.0 -0.0 524125.15035855677 2.0671592324106314e-05
3.187518 5.637155 2.4972 8.213022 0.0 0.0 0.0 0.0 2.292122297850385 1.22573 -33.0 897066 -99.0 -99.0 -99.0 -99.0 88116.77 4.9373642 -inf -5.2261054 1.2257318 1.2254455 8.8425381 0.0069468 0.0 -0.0 433665.6263320752 2.1046371273314435e-05
3.362542 5.71918 2.615713 8.529778 0.0 0.0 0.0 0.0 2.292122298381062 1.2919 -33.0 897062 -99.0 -99.0 -99.0 -99.0 465427.8 5.6656893 -inf -4.8982335 1.2919045 1.2917362 9.0184481 0.0058243 0.0 -0.0 523817.4957851917 2.128579572513445e-05
3.361016 5.718879 2.614793 8.530111 0.0 0.0 0.0 0.0 2.292122299952642 1.2919 -33.0 897063 -99.0 -99.0 -99.0 -99.0 462516.9 5.6629586 -inf -4.8982519 1.2919045 1.2917362 9.0187722 0.0058222 0.0 -0.0 523454.57512437284 2.1994841745254234e-05
3.184794 5.636539 2.496824 8.213095 0.0 0.0 0.0 0.0 2.292122300231321 1.22573 -33.0 897067 -99.0 -99.0 -99.0 -99.0 87874.54 4.9361961 -inf -5.2261324 1.2257318 1.2254455 8.8427971 0.0069447 0.0 -0.0 433050.95432215964 2.2120572822359463e-05
3.038922 5.570253 2.380802 7.961917 0.0 0.0 0.0 0.0 2.292122300974238 1.15919 -33.0 897132 -99.0 -99.0 -99.0 -99.0 20179.66 4.2805828 -inf -3.9872528 1.1591853 1.1585431 8.6992823 0.0079669 0.0 -0.0 371751.731497673 2.245575291226487e-05
3.35929 5.718553 2.613751 8.530601 0.0 0.0 0.0 0.0 2.292122301838538 1.2919 -33.0 897064 -99.0 -99.0 -99.0 -99.0 459301.6 5.6599224 -inf -4.8982703 1.2919045 1.2917362 9.0191915 0.0058194 0.0 -0.0 523061.7951848184 2.2845697230877704e-05
3.181699 5.635847 2.496412 8.213254 0.0 0.0 0.0 0.0 2.292122303088443 1.22573 -33.0 897068 -99.0 -99.0 -99.0 -99.0 87618.6 4.9349618 -inf -5.2261594 1.2257318 1.2254414 8.8431238 0.0069421 0.0 -0.0 432361.4851872864 2.340961378877182e-05
3.357311 5.718169 2.612515 8.531074 0.0 0.0 0.0 0.0 2.292122304027506 1.2919 -33.0 897065 -99.0 -99.0 -99.0 -99.0 455406.8 5.6562152 -inf -4.8982888 1.2919045 1.2917362 9.0196357 0.0058164 0.0 -0.0 522599.5121803129 2.3833288707919564e-05
