teff FUV NUV G3 G3_BP G3_RP U B V R I u g r i z J H Ks W1 W2 W3 H1 H2 H3 H4
1000.0 1.9100476475450498e-26 3.933279144551459e-14 0.44386956095695496 0.0049904510378837585 1.1028311252593994 2.2598731774792213e-08 3.543924685800448e-05 0.0031524919904768467 0.19648276269435883 2.731306552886963 2.2233569652030383e-08 0.0001176653167931363 0.016085952520370483 0.2979108691215515 2.6963772773742676 38.60932922363281 159.80667114257812 324.5607604980469 382.748291015625 261.08819580078125 21.718286514282227 2.6017189828310448e-25 3.432888611863972e-25 3.918415429669127e-25 7.4344780099789165e-25
1050.0 9.238775059855957e-25 4.337036914499326e-13 0.9756470322608948 0.014834078960120678 2.3696036338806152 1.3515955288312398e-07 0.00013798678992316127 0.009598979726433754 0.4678910970687866 5.573291301727295 1.3521879793643166e-07 0.0004439038457348943 0.0464341938495636 0.7209262847900391 5.622982978820801 66.55487823486328 241.43434143066406 445.44219970703125 470.73577880859375 305.3931579589844 23.716997146606445 9.983908730565065e-24 1.2862038126126945e-23 1.4853950315534296e-23 2.722482905180184e-23
1100.0 3.152729939370087e-23 3.879954951074849e-12 2.0065696239471436 0.040043797343969345 4.767930507659912 6.898927153997647e-07 0.0004774918779730797 0.026614150032401085 1.034977674484253 10.701812744140625 7.000720643191016e-07 0.0014881424140185118 0.1219460666179657 1.6122922897338867 10.989717483520508 109.25743865966797 351.456787109375 594.1776733398438 568.647216796875 352.56982421875 25.743680953979492 2.727178468627589e-22 3.4513472878712337e-22 4.018166482511586e-22 7.177653300612879e-22
1150.0 7.942205145635047e-22 2.8919738132016093e-11 3.8937439918518066 0.09939722716808319 9.058902740478516 3.0670425985590555e-06 0.0014906823635101318 0.06795186549425125 2.146169662475586 19.483449935913086 3.1501820103585487e-06 0.0045012421905994415 0.2949333190917969 3.366257905960083 20.29581069946289 171.88681030273438 495.3413391113281 773.1914672851562 676.2830200195312 402.4264831542969 27.79513168334961 5.562444192148316e-21 6.942825570115073e-21 8.129930585044485e-21 1.423937083157661e-20
1200.0 1.5338636280769537e-20 1.8362306120067728e-10 7.179093837738037 0.2292402684688568 16.365365982055664 1.2079227417416405e-05 0.004251458216458559 0.16129717230796814 4.204211235046387 33.843563079833984 1.2535367204691283e-05 0.012441548518836498 0.6636201739311218 6.617262840270996 35.662776947021484 260.5193786621094 678.6448364257812 984.5813598632812 793.3825073242188 454.7792053222656 29.86859893798828 8.804760193573139e-20 1.0868595053892379e-19 1.278137064323024e-19 2.204481455967576e-19
1250.0 2.3443149004820085e-19 1.0118925697355508e-09 12.650983810424805 0.49554121494293213 28.276092529296875 4.275147512089461e-05 0.011194588616490364 0.35885089635849 7.830996990203857 56.39070129394531 4.475846799323335e-05 0.03176251798868179 1.4010965824127197 12.33478832244873 59.97031784057617 382.0909729003906 906.8897705078125 1230.1077880859375 919.6406860351562 509.45355224609375 31.96170997619629 1.1164869220649123e-18 1.3656819601163273e-18 1.6112480038667859e-18 2.7454417275762745e-18
1300.0 2.9127634986921646e-18 4.916970830493028e-09 21.41461753845215 1.0114738941192627 46.9582633972168 0.0001376330037601292 0.027458984404802322 0.7535068988800049 13.94655990600586 90.53960418701172 0.00014518207171931863 0.07557681947946548 2.795865058898926 21.9346923828125 96.98747253417969 544.3187866210938 1185.45458984375 1511.1966552734375 1054.72216796875 566.2855834960938 34.07241439819336 1.1645802893937245e-17 1.4136413274482133e-17 1.672078996398647e-17 2.821648486876527e-17
1350.0 3.0102780013086935e-17 2.1354964019337785e-08 34.9697151184082 1.9618045091629028 75.27410888671875 0.0004072391602676362 0.06322485953569412 1.5022943019866943 23.861421585083008 140.6265869140625 0.0004323403991293162 0.16890829801559448 5.3057780265808105 37.40398406982422 151.49169921875 755.5982666015625 1519.4822998046875 1828.9537353515625 1198.272705078125 625.1221313476562 36.19893264770508 1.0217705560742941e-16 1.2322018111462328e-16 1.4604880180069423e-16 2.445632529662255e-16
1400.0 2.639091818732955e-16 8.38683291704001e-08 55.2935791015625 3.6352434158325195 116.89728546142578 0.001117359148338437 0.13755375146865845 2.8587701320648193 39.380611419677734 212.011962890625 0.0011927265441045165 0.3569287359714508 9.626569747924805 61.43478775024414 229.3697967529297 1024.8829345703125 1913.804931640625 2184.18408203125 1349.92822265625 685.8208618164062 38.33970642089844 7.685044059980328e-16 9.215340877184678e-16 1.0941863802726995e-15 1.8210470338133513e-15
1450.0 1.9962252049255487e-15 3.0086644642324245e-07 84.9273910522461 6.465708255767822 176.42437744140625 0.0028647517319768667 0.28438401222229004 5.215916633605957 62.91684341430664 311.1646728515625 0.003072193590924144 0.717241108417511 16.77544403076172 97.56242370605469 337.69537353515625 1361.5535888671875 2372.888916015625 2577.417236328125 1509.3216552734375 748.2498779296875 40.49337387084961 5.0362853563058595e-15 6.009158474521188e-15 7.146225280598373e-15 1.1836225436404e-14
1500.0 1.322067828205941e-14 9.945711099135224e-07 127.06343078613281 11.083133697509766 259.47747802734375 0.0069091892801225185 0.5614743232727051 9.160806655883789 97.60969543457031 445.72576904296875 0.0074385991320014 1.3773930072784424 28.189273834228516 150.30210876464844 484.7802429199219 1775.2830810546875 2900.796142578125 3008.93505859375 1676.088623046875 812.2872924804688 42.65874099731445 2.9163392041316824e-14 3.464367962058912e-14 4.126012871236796e-14 6.808536106980847e-14
