LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
2.992543 5.522802 2.284573 7.764514 0.0 0.0 0.0 0.0 2.292122255680832 1.0984 -33.0 897036 -99.0 -99.0 -99.0 -99.0 6496.366 3.7410134 -5.792759 -5.0496868 1.0983969 1.0974086 8.5324666 0.0093973 0.0 -0.0 333274.434358093 3.825752202146759e-06
3.161531 5.585601 2.382704 7.961888 0.0 0.0 0.0 0.0 2.292122256188535 1.15919 -33.0 897032 -99.0 -99.0 -99.0 -99.0 20843.46 4.2874753 -5.7506559 -3.9994057 1.1591813 1.1585626 8.638066 0.0085487 0.0 -0.0 385124.36920954165 4.054811256537505e-06
3.15464 5.584036 2.382661 7.9619 0.0 0.0 0.0 0.0 2.29212225731189 1.15919 -33.0 897033 -99.0 -99.0 -99.0 -99.0 20813.69 4.2873227 -5.7506559 -3.999406 1.1591813 1.1585626 8.6386978 0.0085425 0.0 -0.0 383739.0534795991 4.561632778177227e-06
2.986924 5.521516 2.284552 7.76452 0.0 0.0 0.0 0.0 2.292122257473741 1.0984 -33.0 897037 -99.0 -99.0 -99.0 -99.0 6482.562 3.7409265 -5.7927586 -5.0496887 1.0983968 1.0974086 8.5329408 0.0093922 0.0 -0.0 332289.0269657338 4.634654715118813e-06
3.14715 5.582336 2.382608 7.961914 0.0 0.0 0.0 0.0 2.292122258659917 1.15919 -33.0 897034 -99.0 -99.0 -99.0 -99.0 20781.0 4.2871397 -5.7506559 -3.9994065 1.1591813 1.1585626 8.6393879 0.0085357 0.0 -0.0 382239.8834643577 5.169818962258432e-06
3.25585 5.63817 2.504527 8.213849 0.0 0.0 0.0 0.0 2.292122258822443 1.22573 -33.0 897010 -99.0 -99.0 -99.0 -99.0 93096.22 4.9604005 -5.7316529 -5.5456459 1.2257283 1.2254059 8.7782665 0.0074803 0.0 -0.0 434680.34191483655 5.243145437816565e-06
3.409148 5.713335 2.643216 8.522192 0.0 0.0 0.0 0.0 2.292122259322396 1.2919 -33.0 897010 -99.0 -99.0 -99.0 -99.0 555228.5 5.7424546 -5.7343466 -5.0118055 1.2919012 1.2917514 8.9484607 0.0063131 0.0 -0.0 516814.8689791528 5.468708025091473e-06
2.981071 5.520179 2.284527 7.764527 0.0 0.0 0.0 0.0 2.292122259625231 1.0984 -33.0 897038 -99.0 -99.0 -99.0 -99.0 6468.178 3.7408223 -5.7927581 -5.0496909 1.0983968 1.0974086 8.5334481 0.0093867 0.0 -0.0 331267.6295199844 5.6053374350995e-06
3.25742 5.639941 2.503303 8.211512 0.0 0.0 0.0 0.0 2.292122259681784 1.22573 -33.0 897011 -99.0 -99.0 -99.0 -99.0 92080.68 4.955508 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7837802 0.007433 0.0 -0.0 436456.5344920896 5.6308522857762e-06
3.139022 5.580492 2.382545 7.961931 0.0 0.0 0.0 0.0 2.292122260277549 1.15919 -33.0 897035 -99.0 -99.0 -99.0 -99.0 20745.05 4.2869202 -5.7506559 -3.999407 1.1591813 1.1585626 8.6401406 0.0085283 0.0 -0.0 380620.3462507457 5.899642076201417e-06
3.411164 5.7152 2.641305 8.520088 0.0 0.0 0.0 0.0 2.292122260313828 1.2919 -33.0 897011 -99.0 -99.0 -99.0 -99.0 546088.8 5.7352024 -5.7343466 -5.0118047 1.2919012 1.2917514 8.9539057 0.0062736 0.0 -0.0 519039.0101970826 5.916009996553839e-06
3.25387 5.639147 2.503154 8.211554 0.0 0.0 0.0 0.0 2.292122260590348 1.22573 -33.0 897012 -99.0 -99.0 -99.0 -99.0 91975.1 4.9550732 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7841527 0.0074298 0.0 -0.0 435659.31069918314 6.040766919568341e-06
3.408213 5.714585 2.640432 8.520399 0.0 0.0 0.0 0.0 2.29212226142394 1.2919 -33.0 897012 -99.0 -99.0 -99.0 -99.0 543310.1 5.7329906 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9543995 0.0062701 0.0 -0.0 518304.5245038314 6.4168566211719735e-06
