Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
16000.0 7.0 0.223 8.356 -1.307 8.566 9.579 9.663 9.709 9.777 10.055 10.135 10.209 9.982 10.032 10.107 10.186 10.24 10.259 10.268 10.249 10.245 10.257 10.267 10.27 9.402 9.503 9.809 10.087 10.358 9.529 9.812 10.094 10.317 10.485 9.628 9.5 9.734 9.642 9.564 9.759 10.027 9.472 2.051
17000.0 7.0 0.225 8.082 -1.436 8.41 9.426 9.518 9.579 9.659 9.946 10.034 10.112 9.866 9.923 10.006 10.089 10.147 10.168 10.182 10.17 10.152 10.166 10.177 10.182 9.247 9.351 9.676 9.965 10.242 9.378 9.679 9.973 10.201 10.367 9.489 9.352 9.612 9.502 9.417 9.637 9.675 9.241 1.321
18000.0 7.0 0.227 7.824 -1.572 8.275 9.295 9.395 9.468 9.559 9.851 9.947 10.027 9.766 9.829 9.919 10.004 10.066 10.09 10.112 10.105 10.072 10.088 10.101 10.109 9.113 9.222 9.563 9.863 10.144 9.25 9.566 9.871 10.103 10.267 9.37 9.227 9.509 9.383 9.291 9.534 9.366 9.039 0.8821
19000.0 7.0 0.229 7.58 -1.716 8.161 9.186 9.296 9.379 9.479 9.775 9.877 9.957 9.686 9.753 9.848 9.935 9.999 10.026 10.053 10.05 10.006 10.023 10.038 10.048 9.0 9.116 9.472 9.781 10.066 9.145 9.475 9.789 10.026 10.188 9.273 9.123 9.426 9.286 9.188 9.452 9.095 8.866 0.6233
20000.0 7.0 0.231 7.349 -1.876 8.078 9.106 9.224 9.316 9.424 9.723 9.826 9.906 9.632 9.701 9.798 9.883 9.948 9.975 10.005 10.005 9.954 9.972 9.988 9.999 8.917 9.038 9.408 9.723 10.012 9.069 9.41 9.732 9.972 10.133 9.203 9.048 9.369 9.216 9.113 9.394 8.872 8.733 0.4619
21000.0 7.0 0.233 7.129 -2.058 8.035 9.063 9.186 9.283 9.394 9.694 9.796 9.873 9.602 9.672 9.768 9.851 9.913 9.94 9.973 9.974 9.919 9.938 9.954 9.966 8.874 8.996 9.374 9.693 9.983 9.027 9.376 9.701 9.943 10.104 9.165 9.008 9.338 9.179 9.073 9.364 8.741 8.664 0.3541
22000.0 7.0 0.234 6.919 -2.237 7.999 9.027 9.155 9.254 9.368 9.667 9.767 9.843 9.576 9.645 9.739 9.82 9.881 9.908 9.942 9.944 9.886 9.905 9.921 9.934 8.838 8.961 9.345 9.666 9.957 8.993 9.347 9.675 9.917 10.078 9.134 8.974 9.311 9.147 9.04 9.337 8.621 8.611 0.2772
23000.0 7.0 0.236 6.718 -2.398 7.947 8.98 9.116 9.217 9.333 9.632 9.73 9.804 9.542 9.61 9.702 9.781 9.842 9.87 9.906 9.909 9.848 9.868 9.885 9.898 8.787 8.917 9.307 9.63 9.922 8.95 9.309 9.639 9.882 10.043 9.093 8.93 9.275 9.106 8.997 9.301 8.471 8.534 0.2188
24000.0 7.0 0.237 6.526 -2.532 7.869 8.912 9.059 9.163 9.283 9.585 9.684 9.759 9.495 9.563 9.655 9.736 9.799 9.828 9.866 9.87 9.805 9.825 9.843 9.857 8.708 8.853 9.252 9.579 9.873 8.888 9.255 9.588 9.832 9.996 9.034 8.867 9.224 9.047 8.934 9.25 8.312 8.424 0.1726
25000.0 7.0 0.239 6.343 -2.654 7.781 8.838 8.997 9.104 9.228 9.536 9.636 9.713 9.444 9.514 9.608 9.69 9.754 9.785 9.825 9.829 9.761 9.782 9.8 9.815 8.621 8.782 9.192 9.523 9.82 8.82 9.195 9.532 9.779 9.944 8.969 8.797 9.167 8.982 8.865 9.194 8.16 8.306 0.1361
